Ref,Val,Package,PosX,PosY,Rot,Side
"","","MountingHole_2.7mm_M2.5",103.500000,-103.500000,0.000000,top
"","","MountingHole_2.7mm_M2.5",161.500000,-103.500000,0.000000,top
"","","MountingHole_2.7mm_M2.5",103.500000,-152.500000,0.000000,top
"","","MountingHole_2.7mm_M2.5",161.500000,-152.500000,0.000000,top
"J_BAT","LiPo_Battery","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",104.000000,-133.000000,90.000000,top
"J_CRYPTO","Crypto_QSPI_IRQ","PinHeader_2x05_P2.54mm_Vertical",160.000000,-120.000000,0.000000,top
"J_MCU_L","","PinSocket_1x16_P2.54mm_Vertical",123.000000,-126.000000,0.000000,top
"J_MCU_R","","PinSocket_1x16_P2.54mm_Vertical",135.000000,-126.000000,0.000000,top
"J_PI","Raspberry_Pi_40Pin","PinHeader_2x20_P2.54mm_Vertical",132.500000,-147.000000,0.000000,top
"J_SMA","SMA_Edge_Mount","SMA_Amphenol_132136_EdgeMount",148.000000,-100.000000,180.000000,top
"J_STEMMA","STEMMA_QT_CardKB","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",160.000000,-137.000000,-90.000000,top
"J_USB","","USB_C_Receptacle_GCT_USB4105",102.500000,-118.000000,90.000000,top
"Q_PWR","DMG2305UX","SOT-23",112.000000,-122.000000,0.000000,top
"U_CHG","TP4056","SOIC-8_3.9x4.9mm_P1.27mm",112.000000,-114.000000,0.000000,top
"U_LORA","E22-900M22S","EBYTE_E22-900M22S",148.000000,-114.000000,0.000000,top
"U_REG","AP2112K-3.3","SOT-23-5",112.000000,-130.000000,0.000000,top
